id	name
1	Bora
2	Castellano
3	Huitoto
4	Español
5	Huitoto Muinane
6	Huitoto Murui
7	Ocaina
8	Muinane
9	Uitoto
10	Achuar-Shiwiar
11	Aguaruna
12	Humabisa
13	Huambisa
14	Shuar
15	Katukina
16	Português
17	Cashibo-Cacataibo
18	Portuguese
19	Kaxarari
20	Shipibo
21	Mayoruna
22	Spanish
23	Cashinahua
24	Amahuaca
25	Záparo
26	Tuyuca
27	Siriano
28	Carapana
29	Yawanawá
30	Français
31	F
32	F
33	F
34	Huariapano
35	Tucano
36	Desano
37	Wanano o Guanano
38	Cubeo
39	Koreguaje
40	Macuna
41	Barasana y taibano
42	Siriono
43	Matis
44	Chacobo
45	Capanahua
46	Mastanahua
47	Nɨpode Uitoto
48	N
49	N
50	English
51	achagua
52	awa
53	epena basurudó
54	giacone
55	barí
56	baniva
57	bora
58	bará
59	barasana
60	cabiyarí
61	cha'palaachi
62	cuiba
63	carijona
64	chimila
65	embera chamí
66	carapana
67	curripaco
68	catío
69	cubeo
70	desano
71	dí̵mɨna
72	embera Darién
73	epena Saija
74	guahibo
75	guambiano
76	guayabero
77	ika
78	inga
79	jupda
80	jitnu
81	koreguaje
82	kakua
83	kogui
84	kamsá
85	macuna
86	nukak
87	witoto mɨnɨca
88	miraña
89	witoto murui
90	muinane
91	witoto nɨpode
92	ocaina
93	orejón
94	páez
95	playero
96	piapoco
97	puinave
98	piratapuyo
99	resígaro
100	secoya
101	siona
102	sáliba
103	siriano
104	tatuyo
105	tucano
106	embera Tadó
107	tanimuca
108	tunebo central
109	tariano
110	tsafiqui pila
111	totoró
112	tuyuca
113	waimaja
114	wounaan
115	wanano
116	wayuu
117	yucuna
118	yukpa
119	yurutí
120	Sinsauru
121	Asas
122	Sausi
123	Kesawai
124	Dumpu
125	Arawum
126	Kolom
127	Suroi
128	Lemio
129	Pulabu
130	Yabong
131	Ganglau
132	Saep
133	Usino
134	Sumau
135	Urigina
136	Danaru
137	Usu
138	Erima
139	Duduela
140	Kwato
141	Rerau
142	Jilim
143	Yangulam
144	Bom
145	Male
146	Bongu
147	Songum
148	Mugil
149	Dimir
150	Malas
151	Bunabun
152	Korak
153	Waskia
154	Pay
155	Pila
156	Saki
157	Tani
158	Ulingan
159	Bepour
160	Moere
161	Kowaki
162	Mawak
163	Hinihon
164	Musar
165	Wanambre
166	Koguman
167	Abasakur
168	Wanuma
169	Yaben
170	Yarawata
171	Bilakura
172	Parawen
173	Ukuriguma
174	Amaimon
175	Kare
176	Girawa
177	Munit
178	Bemal
179	Sihan
180	Gumalu
181	Isebe
182	Amele
183	Bau
184	Panim
185	Rapting
186	Wamas
187	Samosa
188	Murupi
189	Saruga
190	Nake
191	Mosimo
192	Garus
193	Yoidik
194	Rempi
195	Bagupi
196	Silopi
197	Utu
198	Mawan
199	Baimak
200	Matepi
201	Gal
202	Garuh
203	Kamba
204	Sileibi
205	Katiati
206	Osum
207	Pondoma
208	Ikundun
209	Moresada
210	Wadaginam
211	Atemple
212	Angaua
213	Emerum
214	Musak
215	Paynamar
216	Isabi
217	Biyom
218	Tauya
219	Faita
220	Aisi
221	Apali̵
222	Kulsab
223	Manat
224	Mum
225	Nend
226	Sirva
